#海鹰tv#
🇨🇳央视,#genre#
CCTV综合,rtsp://183.251.61.199/PLTV/88888888/224/3221226834/48356507.smil
CCTV财经,rtsp://183.251.61.199/PLTV/88888888/224/3221226655/40417429.smil
CCTV综艺,http://39.134.68.170:6610/PLTV/88888888/224/3221226021/everydaylive_cctv3.m3u8?from=everydaytv4.2
CCTV中文国际,rtsp://183.251.61.199/PLTV/88888888/224/3221226633/40417241.smil
CCTV中文国际·欧洲,http://39.136.48.20:8089/PLTV/88888888/224/3221226318/index.m3u8
CCTV中文国际·美洲,http://39.136.48.20:8089/PLTV/88888888/224/3221226395/index.m3u8
CCTV体育,http://39.134.68.170:6610/PLTV/88888888/224/3221226019/everydaylive_cctv5.m3u8?from=everydaytv4.2
CCTV体育赛事,rtsp://183.251.61.199/PLTV/88888888/224/3221226714/40417236.smil
CCTV电影,http://39.134.68.170:6610/PLTV/88888888/224/3221226010/everydaylive_cctv6.m3u8?from=everydaytv4.2
CCTV国防军事,rtsp://183.251.61.199/PLTV/88888888/224/3221226645/40426612.smil
CCTV电视剧,http://39.134.68.170:6610/PLTV/88888888/224/3221226008/everydaylive_cctv8.m3u8?from=everydaytv4.2
CCTV纪录,rtsp://183.251.61.199/PLTV/88888888/224/3221226637/40417257.smil
CCTV科教,rtsp://183.251.61.199/PLTV/88888888/224/3221226718/40417274.smil
CCTV戏曲,rtsp://183.251.61.199/PLTV/88888888/224/3221225996/10000100000000060000000002296743_0.smil
CCTV社会与法,rtsp://183.251.61.199/PLTV/88888888/224/3221226659/40417266.smil
CCTV新闻,rtsp://183.251.61.199/PLTV/88888888/224/3221226104/10000100000000060000000002298296_0.smil
CCTV少儿,rtsp://183.251.61.199/PLTV/88888888/224/3221226641/40418077.smil
CCTV音乐,rtsp://183.251.61.199/PLTV/88888888/224/3221225998/10000100000000060000000002296745_0.smil
CCTV奥林匹克,http://39.134.68.170:6610/PLTV/88888888/224/3221226100/everydaylive_cctv16.m3u8?from=everydaytv4.2
CCTV农业农村,http://39.134.68.170:6610/PLTV/88888888/224/3221225765/everydaylive_cctv17.m3u8?from=everydaytv4.2
CCTV超高清4K,http://39.135.55.7:6610/PLTV/88888888/224/3221226998/everydaylive_cctv4k.m3u8?servicetype=1&from=everydaytv4.2
CCTV超高清8K,http://117.148.179.157/PLTV/88888888/224/3221233350/index.m3u8?from=everydaytv4.2
CCTV怀旧剧场,http://117.148.179.157/PLTV/88888888/224/3221231544/index.m3u8
CCTV第一剧场,http://117.148.179.157/PLTV/88888888/224/3221231540/index.m3u8
CCTV风云剧场,http://117.148.179.157/PLTV/88888888/224/3221231604/index.m3u8
CCTV风云音乐,http://183.214.164.90/hlsliveali-cdn.ysp.cctv.cn/ysp/2012514103.m3u8
CCTV风云足球,http://117.148.179.157/PLTV/88888888/224/3221231547/index.m3u8
CCTV兵器科技,http://117.148.179.157/PLTV/88888888/224/3221231573/index.m3u8
